ATTR_NPI,DEF_SUB,ACO_NUM,aco_epi_cnt
1003001785,PPI_IOP_MJRLE_HIP,,32
1003001785,PPI_IOP_MJRLE_KNEE,,17
1003002890,PPI_IOP_MJRLE_KNEE,,20
1003010919,PPI_IOP_MJRLE_HIP,,25
1003012493,PPI_IOP_MJRLE_HIP,,13
1003012493,PPI_IOP_MJRLE_KNEE,,55
1003013947,PPI_IOP_MJRLE_HIP,,43
1003013947,PPI_IOP_MJRLE_HIP,A1061,11
1003013947,PPI_IOP_MJRLE_KNEE,,46
1003017286,PPI_IOP_MJRLE_HIP,,24
1003017682,PPI_IOP_MJRLE_HIP,,25
1003017682,PPI_IOP_MJRLE_HIP,A2189,48
1003017682,PPI_IOP_MJRLE_HIP,A2530,14
1003017682,PPI_IOP_MJRLE_KNEE,,18
1003017682,PPI_IOP_MJRLE_KNEE,A2189,58
1003018086,PPI_IOP_MJRLE_HIP,,18
1003024894,PPI_IOP_MJRLE_HIP,,16
1003024894,PPI_IOP_MJRLE_KNEE,A2833,15
1003029034,PPI_IOP_MJRLE_HIP,,34
1003029034,PPI_IOP_MJRLE_HIP,A3554,23
1003029034,PPI_IOP_MJRLE_HIP,A3621,50
1003029034,PPI_IOP_MJRLE_KNEE,,34
1003029034,PPI_IOP_MJRLE_KNEE,A3554,12
1003029034,PPI_IOP_MJRLE_KNEE,A3621,36
1003029828,PPI_IOP_MJRLE_KNEE,,13
1003044033,PPI_IOP_MJRLE_HIP,,79
1003044033,PPI_IOP_MJRLE_KNEE,,45
1003053828,PPI_IOP_MJRLE_HIP,,13
1003058496,PPI_IOP_MJRLE_HIP,,13
1003058496,PPI_IOP_MJRLE_KNEE,,12
1003068230,PPI_IOP_MJRLE_HIP,,31
1003068230,PPI_IOP_MJRLE_KNEE,,26
1003072604,PPI_IOP_MJRLE_HIP,,55
1003072604,PPI_IOP_MJRLE_KNEE,,31
1003074733,PPI_IOP_MJRLE_HIP,,12
1003074733,PPI_IOP_MJRLE_KNEE,,14
1003085671,PPI_IOP_MJRLE_HIP,,19
1003085671,PPI_IOP_MJRLE_HIP,A3547,31
1003085671,PPI_IOP_MJRLE_KNEE,,20
1003085671,PPI_IOP_MJRLE_KNEE,A3547,42
1003094749,PPI_IOP_MJRLE_HIP,,19
1003094749,PPI_IOP_MJRLE_KNEE,,34
1003097957,PPI_IOP_MJRLE_HIP,,32
1003097957,PPI_IOP_MJRLE_HIP,A3029,40
1003100090,PPI_IOP_MJRLE_HIP,,112
1003100090,PPI_IOP_MJRLE_HIP,A3224,23
1003100090,PPI_IOP_MJRLE_KNEE,,78
1003100090,PPI_IOP_MJRLE_KNEE,A3224,28
1003103755,PPI_IOP_MJRLE_HIP,,25
1003103755,PPI_IOP_MJRLE_KNEE,,209
1003103755,PPI_IOP_MJRLE_KNEE,A1027,11
1003103755,PPI_IOP_MJRLE_KNEE,A1539,16
1003103755,PPI_IOP_MJRLE_KNEE,A2551,11
1003103755,PPI_IOP_MJRLE_KNEE,A2909,17
1003103755,PPI_IOP_MJRLE_KNEE,A4911,13
1003105529,PPI_IOP_MJRLE_HIP,,56
1003105529,PPI_IOP_MJRLE_KNEE,,101
1003105719,PPI_IOP_MJRLE_HIP,,22
1003105719,PPI_IOP_MJRLE_HIP,A4894,14
1003105719,PPI_IOP_MJRLE_KNEE,,17
1003166612,PPI_IOP_MJRLE_HIP,,20
1003166612,PPI_IOP_MJRLE_KNEE,,41
1003166612,PPI_IOP_MJRLE_KNEE,A3580,11
1003217621,PPI_IOP_MJRLE_HIP,,18
1003235078,PPI_IOP_MJRLE_HIP,,17
1003235078,PPI_IOP_MJRLE_KNEE,,14
1003236845,PPI_IOP_MJRLE_KNEE,,13
1003250887,PPI_IOP_MJRLE_HIP,,63
1003250887,PPI_IOP_MJRLE_HIP,A2057,15
1003250887,PPI_IOP_MJRLE_HIP,A2530,16
1003250887,PPI_IOP_MJRLE_KNEE,,31
1003254525,PPI_IOP_MJRLE_HIP,,11
1003254822,PPI_IOP_MJRLE_HIP,,14
1003254822,PPI_IOP_MJRLE_HIP,A4641,14
1003254822,PPI_IOP_MJRLE_KNEE,,13
1003259706,PPI_IOP_MJRLE_HIP,,13
1003259706,PPI_IOP_MJRLE_HIP,A2571,11
1003259706,PPI_IOP_MJRLE_KNEE,,11
1003284357,PPI_IOP_MJRLE_HIP,,33
1003284357,PPI_IOP_MJRLE_KNEE,,28
1003806373,PPI_IOP_MJRLE_HIP,,13
1003808767,PPI_IOP_MJRLE_HIP,,18
1003808767,PPI_IOP_MJRLE_HIP,A2631,14
1003809484,PPI_IOP_MJRLE_HIP,,223
1003809484,PPI_IOP_MJRLE_HIP,A3825,27
1003809484,PPI_IOP_MJRLE_KNEE,,248
1003809484,PPI_IOP_MJRLE_KNEE,A3825,20
1003812199,PPI_IOP_MJRLE_HIP,,40
1003812199,PPI_IOP_MJRLE_KNEE,,40
1003812645,PPI_IOP_MJRLE_HIP,,29
1003812645,PPI_IOP_MJRLE_KNEE,,35
1003815812,PPI_IOP_MJRLE_KNEE,,73
1003815812,PPI_IOP_MJRLE_KNEE,A1539,17
1003815812,PPI_IOP_MJRLE_KNEE,A3747,13
1003817107,PPI_IOP_MJRLE_HIP,,20
1003817107,PPI_IOP_MJRLE_HIP,A3547,39
1003817107,PPI_IOP_MJRLE_KNEE,,20
1003817107,PPI_IOP_MJRLE_KNEE,A3547,42
1003817552,PPI_IOP_MJRLE_HIP,,45
1003817552,PPI_IOP_MJRLE_KNEE,,32
1003817693,PPI_IOP_MJRLE_HIP,,84
1003817693,PPI_IOP_MJRLE_KNEE,,55
1003818741,PPI_IOP_MJRLE_HIP,,16
1003818741,PPI_IOP_MJRLE_KNEE,,38
1003819780,PPI_IOP_MJRLE_HIP,,145
1003819780,PPI_IOP_MJRLE_HIP,A2098,49
1003819780,PPI_IOP_MJRLE_HIP,A2419,34
1003819780,PPI_IOP_MJRLE_KNEE,,159
1003819780,PPI_IOP_MJRLE_KNEE,A2098,63
1003819780,PPI_IOP_MJRLE_KNEE,A2419,54
1003819780,PPI_IOP_MJRLE_KNEE,A4938,30
1003820234,PPI_IOP_MJRLE_KNEE,,15
1003820234,PPI_IOP_MJRLE_KNEE,A1488,11
1003820234,PPI_IOP_MJRLE_KNEE,A3016,35
1003823212,PPI_IOP_MJRLE_KNEE,,19
1003823212,PPI_IOP_MJRLE_KNEE,A4893,18
1003825456,PPI_IOP_MJRLE_HIP,,44
1003825456,PPI_IOP_MJRLE_KNEE,,32
1003825753,PPI_IOP_MJRLE_HIP,,13
1003834078,PPI_IOP_MJRLE_KNEE,,16
1003841008,PPI_IOP_MJRLE_HIP,,18
1003841008,PPI_IOP_MJRLE_HIP,A2057,17
1003841008,PPI_IOP_MJRLE_KNEE,,20
1003841008,PPI_IOP_MJRLE_KNEE,A2057,24
1003841008,PPI_IOP_MJRLE_KNEE,A3599,19
1003843681,PPI_IOP_MJRLE_HIP,A3723,12
1003845629,PPI_IOP_MJRLE_HIP,,38
1003845629,PPI_IOP_MJRLE_KNEE,,20
1003851817,PPI_IOP_MJRLE_HIP,,25
1003855289,PPI_IOP_MJRLE_HIP,,39
1003855289,PPI_IOP_MJRLE_KNEE,,69
1003858978,PPI_IOP_MJRLE_HIP,,11
1003858978,PPI_IOP_MJRLE_KNEE,,25
1003860651,PPI_IOP_MJRLE_HIP,,17
1003860651,PPI_IOP_MJRLE_KNEE,,14
1003864497,PPI_IOP_MJRLE_HIP,,64
