Service Description,Service Details,Musculoskeletal system diseases,Circulatory system diseases,Eye and adnexa diseases,Cancer,Nervous system diseases,Endocrine metabolic diseases,GI system diseases,Respiratory system diseases,GU system diseases,Ear and mastoid diseases,Skin subcutaneous diseases,Infectious diseases,Blood diseases,Injury,Mental health,Perinatal care
Anesthesia - Anesthesia,No RBCS Family,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
DME - Drugs Administered Through DME,Bronchodilator,All,Others,All,All,All,All,All,Bronchodilator,All,All,All,All,All,All,All,All
DME - Drugs Administered Through DME,No RBCS Family,All,Others,All,All,All,All,All,Others,All,All,All,All,All,All,All,All
DME - Drugs Administered Through DME,Vasodilator,All,Vasodilator,All,All,All,All,All,Others,All,All,All,All,All,All,All,All
DME - Hospital Beds,No RBCS Family,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
DME - Medical/Surgical Supplies,Skin Allograft,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
DME - Medical/Surgical Supplies,No RBCS Family,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
DME - Orthotic Devices,Below Knee Orthotic,Below Knee Orthotic,All,All,All,Others,All,Others,All,Others,All,All,All,All,All,All,All
DME - Orthotic Devices,Implantable Joint Device,Implantable Joint Device,All,All,All,Others,All,Others,All,Others,All,All,All,All,All,All,All
DME - Orthotic Devices,Intermittent Urinary Catheter,Others,All,All,All,Intermittent Urinary Catheter,All,Others,All,Intermittent Urinary Catheter,All,All,All,All,All,All,All
DME - Orthotic Devices,Knee Orthosis,Knee Orthosis,All,All,All,Others,All,Others,All,Others,All,All,All,All,All,All,All
DME - Orthotic Devices,Lumbar Sacral Orthosis Brace,Lumbar Sacral Orthosis Brace,All,All,All,Others,All,Others,All,Others,All,All,All,All,All,All,All
DME - Orthotic Devices,No RBCS Family,Others,All,All,All,Others,All,Others,All,Others,All,All,All,All,All,All,All
