HCPCS/CPT Code	Short Description	In CY2019 Included List?	In CY2020 Included List?	Footnote
G0071	Comm svcs by rhc/fqhc 5 min	yes	yes	
G0129	Partial hosp prog service	yes	yes	
G0151	"Hhcp-serv of pt,ea 15 min"	yes	yes	
G0152	"Hhcp-serv of ot,ea 15 min"	yes	yes	
G0153	"Hhcp-svs of s/l path,ea 15mn"	yes	yes	
G0155	"Hhcp-svs of csw,ea 15 min"	yes	yes	
G0159	Hhc pt maint ea 15 min	yes	yes	
G0160	Hhc occup therapy ea 15	yes	yes	
G0161	Hhc slp ea 15 min	yes	yes	
G0186	"Dstry eye lesn,fdr vssl tech"	yes	yes	
G0245	Initial foot exam pt lops	yes	yes	
G0246	Followup eval of foot pt lop	yes	yes	
G0248	Demonstrate use home inr mon	yes	yes	
G0249	Provide inr test mater/equip	yes	yes	
G0250	Md inr test revie inter mgmt	yes	yes	
G0257	Unsched dialysis esrd pt hos	yes	yes	
G0259	Inject for sacroiliac joint	yes	yes	
G0260	Inj for sacroiliac jt anesth	yes	yes	
G0268	Removal of impacted wax md	yes	yes	
G0276	Pild/placebo control clin tr	yes	yes	
G0339	"Robot lin-radsurg com, first"	yes	yes	
G0340	Robt lin-radsurg fractx 2-5	yes	yes	
G0341	Percutaneous islet celltrans	yes	yes	
G0342	Laparoscopy islet cell trans	yes	yes	
G0343	Laparotomy islet cell transp	yes	yes	
G0378	Hospital observation per hr	yes	yes	
G0379	Direct refer hospital observ	yes	yes	
G0380	Lev 1 hosp type b ed visit	yes	yes	
G0381	Lev 2 hosp type b ed visit	yes	yes	
G0382	Lev 3 hosp type b ed visit	yes	yes	
G0383	Lev 4 hosp type b ed visit	yes	yes	
G0384	Lev 5 hosp type b ed visit	yes	yes	
G0396	Alcohol/subs interv 15-30mn	yes	yes	
G0397	Alcohol/subs interv >30 min	yes	yes	
G0402	Initial preventive exam	yes	yes	
G0406	Inpt/tele follow up 15	yes	yes	
G0407	Inpt/tele follow up 25	yes	yes	
G0408	Inpt/tele follow up 35	yes	yes	
G0409	Corf related serv 15 mins ea	yes	yes	
G0412	Open tx iliac spine uni/bil	yes	yes	
G0413	Pelvic ring fracture uni/bil	yes	yes	
G0414	Pelvic ring fx treat int fix	yes	yes	
G0415	Open tx post pelvic fxcture	yes	yes	
G0425	Inpt/ed teleconsult30	yes	yes	
G0426	Inpt/ed teleconsult50	yes	yes	
G0427	Inpt/ed teleconsult70	yes	yes	
G0428	Collagen meniscus implant	yes	yes	
G0429	Dermal filler injection(s)	yes	yes	
G0438	"Ppps, initial visit"	yes	yes	
G0439	"Ppps, subseq visit"	yes	yes	
G0443	Brief alcohol misuse counsel	yes	yes	
G0446	Intens behave ther cardio dx	no	yes	
G0447	Behavior counsel obesity 15m	yes	yes	
G0448	Place perm pacing cardiovert	yes	yes	
G0455	Fecal microbiota prep instil	yes	yes	
G0458	Ldr prostate brachy comp rat	yes	yes	
G0459	Telehealth inpt pharm mgmt	yes	yes	
G0460	Autologous prp for ulcers	yes	yes	
G0463	Hospital outpt clinic visit	yes	yes	
G0466	Fqhc visit new patient	yes	yes	
G0467	"Fqhc visit, estab pt"	yes	yes	
G0468	"Fqhc visit, ippe or awv"	yes	yes	
G0469	"Fqhc visit, mh new pt"	yes	yes	
G0470	"Fqhc visit, mh estab pt"	yes	yes	
G0473	Group behave couns 2-10	yes	yes	
G0491	Dialysis acu kidney no esrd	yes	yes	
G0492	Md/oth eval acut kid no esrd	yes	yes	
G0498	Chemo extend iv infus w/pump	yes	yes	
G0508	Crit care telehea consult 60	yes	yes	
G0509	Crit care telehea consult 50	yes	yes	
G0511	Ccm/bhi by rhc/fqhc 20min mo	yes	yes	
G0512	Cocm by rhc/fqhc 60 min mo	yes	yes	
G0515	Cognitive skills development	yes	N/A	
G0516	"Insert drug del implant, >=4"	yes	yes	
G0517	Remove drug implant	yes	yes	
G0518	Remove w insert drug implant	yes	yes	
G2000	Blinded conv. tx mdd clin tr	yes	yes	
G2010	Remot image submit by pt	yes	yes	
G2011	Alcohol/sub misuse assess	yes	yes	
G2012	Brief check in by md/qhp	yes	yes	
G2025	Dis site tele svcs rhc/fqhc	N/A	yes	
G2061	Qual nonmd est pt 5-10m	N/A	yes	
G2062	Qual nonmd est pt 11-20m	N/A	yes	
G2063	Qual nonmd est pt 21>min	N/A	yes	
G2064	Md mang high risk dx 30	N/A	yes	
G2065	Clin mang h risk dx 30	N/A	yes	
G2082	Visit esketamine 56m or less	N/A	yes	
G2083	"Visit esketamine, > 56m"	N/A	yes	
G2086	Off base opioid tx 70min	N/A	yes	
G2087	"Off base opioid tx, 60 m"	N/A	yes	
G2170	Avf by tissue w thermal e	N/A	yes	
G2171	Avf use magnetic/art/ven	N/A	yes	
G6003	Radiation treatment delivery	yes	yes	
G6004	Radiation treatment delivery	yes	yes	
G6005	Radiation treatment delivery	yes	yes	
G6006	Radiation treatment delivery	yes	yes	
G6007	Radiation treatment delivery	yes	yes	
G6008	Radiation treatment delivery	yes	yes	
G6009	Radiation treatment delivery	yes	yes	
G6010	Radiation treatment delivery	yes	yes	
G6011	Radiation treatment delivery	yes	yes	
G6012	Radiation treatment delivery	yes	yes	
G6013	Radiation treatment delivery	yes	yes	
G6014	Radiation treatment delivery	yes	yes	
G6015	Radiation tx delivery imrt	yes	yes	
G6016	Delivery comp imrt	yes	yes	
H0007	Alcohol and/or drug services	yes	yes	
H0008	Alcohol and/or drug services	yes	yes	
H0009	Alcohol and/or drug services	yes	yes	
H0010	Alcohol and/or drug services	yes	yes	
H0011	Alcohol and/or drug services	yes	yes	
H0012	Alcohol and/or drug services	yes	yes	
H0013	Alcohol and/or drug services	yes	yes	
H0014	Alcohol and/or drug services	yes	yes	
H0015	Alcohol and/or drug services	yes	yes	
H0016	Alcohol and/or drug services	yes	yes	
H0020	Alcohol and/or drug services	yes	yes	
H0050	Alcohol/drug service 15 min	yes	yes	
H1000	Prenatal care atrisk assessm	yes	yes	
H1001	Antepartum management	yes	yes	
H1002	Carecoordination prenatal	yes	yes	
H1003	Prenatal at risk education	yes	yes	
H1004	Follow up home visit/prental	yes	yes	
H1005	Prenatalcare enhanced srv pk	yes	yes	
H2033	Multisys ther/juvenile 15min	yes	yes	
M0075	Cellular therapy	yes	yes	
M0076	Prolotherapy	yes	yes	
M0100	Intragastric hypothermia	yes	yes	
M0300	Iv chelationtherapy	yes	yes	
M0301	Fabric wrapping of aneurysm	yes	yes	
S0201	Partial hospitalization serv	yes	yes	
S0220	Medical conference by physic	yes	yes	
S0221	"Medical conference, 60 min"	yes	yes	
S0265	Genetic counsel 15 mins	yes	yes	
S0273	Md home visit outside cap	yes	yes	
S0274	Nurse practr visit outs cap	yes	yes	
S0311	Comp mgmt care coord adv ill	yes	yes	
S0353	Cancer treatmentplan initial	yes	yes	
S0354	Cancer treatment plan change	yes	yes	
S0390	Rout foot care per visit	yes	yes	
S0400	Global eswl kidney	yes	yes	
S0610	Annual gynecological examina	yes	yes	
S0612	Annual gynecological examina	yes	yes	
S0613	Ann breast exam	yes	yes	
S0620	Routine ophthalmological exa	yes	yes	
S0621	Routine ophthalmological exa	yes	yes	
S0630	Removal of sutures	yes	yes	
S0800	Laser in situ keratomileusis	yes	yes	
S0810	Photorefractive keratectomy	yes	yes	
S0812	Phototherap keratect	yes	yes	
S2053	Transplantation of small int	yes	yes	
S2054	Transplantation of multivisc	yes	yes	
S2060	Lobar lung transplantation	yes	yes	
S2065	Simult panc kidn trans	yes	yes	
S2066	Breast gap flap reconst	yes	yes	
S2067	"Breast ""stacked"" diep/gap"	yes	yes	
S2068	Breast diep or siea flap	yes	yes	
S2070	Cysto laser tx ureteral calc	yes	yes	
S2079	Lap esophagomyotomy	yes	yes	
S2080	Laup	yes	yes	
S2083	Adjustment gastric band	yes	yes	
S2095	Transcath emboliz microspher	yes	yes	
S2102	Islet cell tissue transplant	yes	yes	
S2103	Adrenal tissue transplant	yes	yes	
S2107	Adoptive immunotherapy	yes	yes	
S2112	Knee arthroscp harv	yes	yes	
S2115	Periacetabular osteotomy	yes	yes	
S2117	"Arthroereisis, subtalar"	yes	yes	
S2118	Total hip resurfacing	yes	yes	
S2120	Low density lipoprotein(ldl)	yes	yes	
S2150	Bmt harv/transpl 28d pkg	yes	yes	
S2152	Solid organ transpl pkg	yes	yes	
S2202	Echosclerotherapy	yes	yes	
S2205	Minimally invasive direct co	yes	yes	
S2206	Minimally invasive direct co	yes	yes	
S2207	Minimally invasive direct co	yes	yes	
S2208	Minimally invasive direct co	yes	yes	
S2209	Minimally invasive direct co	yes	yes	
S2225	Myringotomy laser-assist	yes	yes	
S2230	Implant semi-imp hear	yes	yes	
S2235	Implant auditory brain imp	yes	yes	
S2300	"Arthroscopy, shoulder, surgi"	yes	yes	
S2325	Hip core decompression	yes	yes	
S2340	Chemodenervation of abductor	yes	yes	
S2341	Chemodenerv adduct vocal	yes	yes	
S2342	Nasal endoscop po debrid	yes	yes	
S2348	Decompress disc rf lumbar	yes	yes	
S2350	"Diskectomy, anterior, with d"	yes	yes	
S2400	Fetal surg congen hernia	yes	yes	
S2401	Fetal surg urin trac obstr	yes	yes	
S2402	Fetal surg cong cyst malf	yes	yes	
S2403	Fetal surg pulmon sequest	yes	yes	
S2404	Fetal surg myelomeningo	yes	yes	
S2405	Fetal surg sacrococ teratoma	yes	yes	
S2409	Fetal surg noc	yes	yes	
S2411	Fetoscop laser ther ttts	yes	yes	
S3000	Bilat dil retinal exam	yes	yes	
S4013	Compl gift case rate	yes	yes	
S4014	Compl zift case rate	yes	yes	
S4028	Microsurg epi sperm asp	yes	yes	
S4989	Contracept iud	yes	yes	
S4993	Contraceptive pills for bc	yes	yes	
S9034	Eswl for gallstones	yes	yes	
S9128	"Speech therapy, in the home,"	yes	yes	
S9129	"Occupational therapy, in the"	yes	yes	
S9131	Pt in the home per diem	yes	yes	
S9145	Insulin pump initiation	yes	yes	
S9152	"Speech therapy, re-eval"	yes	yes	
T1024	Team evaluation & management	yes	yes	
T1025	"Ped compr care pkg, per diem"	yes	yes	
T1026	"Ped compr care pkg, per hour"	yes	yes	
T1040	Comm bh clinic svc per diem	yes	yes	
T1041	Comm bh clinic svc per month	yes	yes	
100	Anesth salivary gland	yes	yes	
102	Anesth repair of cleft lip	yes	yes	
103	Anesth blepharoplasty	yes	yes	
104	Anesth electroshock	yes	yes	
120	Anesth ear surgery	yes	yes	
124	Anesth ear exam	yes	yes	
126	Anesth tympanotomy	yes	yes	
140	Anesth procedures on eye	yes	yes	
142	Anesth lens surgery	yes	yes	
144	Anesth corneal transplant	yes	yes	
145	Anesth vitreoretinal surg	yes	yes	
147	Anesth iridectomy	yes	yes	
148	Anesth eye exam	yes	yes	
160	Anesth nose/sinus surgery	yes	yes	
162	Anesth nose/sinus surgery	yes	yes	
164	Anesth biopsy of nose	yes	yes	
170	Anesth procedure on mouth	yes	yes	
172	Anesth cleft palate repair	yes	yes	
174	Anesth pharyngeal surgery	yes	yes	
176	Anesth pharyngeal surgery	yes	yes	
190	Anesth face/skull bone surg	yes	yes	
192	Anesth facial bone surgery	yes	yes	
210	Anesth cranial surg nos	yes	yes	
211	Anesth cran surg hemotoma	yes	yes	
212	Anesth skull drainage	yes	yes	
214	Anesth skull drainage	yes	yes	
215	Anesth skull repair/fract	yes	yes	
216	Anesth head vessel surgery	yes	yes	
218	Anesth special head surgery	yes	yes	
220	Anesth intrcrn nerve	yes	yes	
222	Anesth head nerve surgery	yes	yes	
300	Anesth head/neck/ptrunk	yes	yes	
320	Anesth neck organ 1yr/>	yes	yes	
322	Anesth biopsy of thyroid	yes	yes	
326	Anesth larynx/trach < 1 yr	yes	yes	
350	Anesth neck vessel surgery	yes	yes	
352	Anesth neck vessel surgery	yes	yes	
400	Anesth skin ext/per/atrunk	yes	yes	
402	Anesth surgery of breast	yes	yes	
404	Anesth surgery of breast	yes	yes	
406	Anesth surgery of breast	yes	yes	
410	Anesth correct heart rhythm	yes	yes	
450	Anesth surgery of shoulder	yes	yes	
454	Anesth collar bone biopsy	yes	yes	
470	Anesth removal of rib	yes	yes	
472	Anesth chest wall repair	yes	yes	
