ACTION_FLAG,DEF_SRC,DEF_TYPE,DEF_NAME,PRF_BEG,PRF_END,ENROLL_TYPE,MIN_AGE,MAX_AGE
1,CMMI,EPISODE,BPCIA,1/1/2017,12/31/2017,FFS_AB,,
1,CMMI,EPISODE,KCC,1/1/2017,12/31/2017,FFS_AB,,
1,GAM,MEASURE,GAM_08,1/1/2017,12/31/2017,FFS_AB,,
1,GAM,MEASURE,GAM_04,1/1/2017,12/31/2017,FFS_AB,,
1,GAM,MEASURE,GAM_33,1/1/2017,12/31/2017,FFS_AB,,
1,GAM,MEASURE,GAM_34,1/1/2017,12/31/2017,FFS_AB,,
1,NQF,MEASURE,NQF_0041,1/1/2017,12/31/2017,FFS_AB,,
1,LVC,MEASURE,LVC_01,1/1/2017,12/31/2017,FFS_AB,,
1,LVC,MEASURE,LVC_02,1/1/2017,12/31/2017,FFS_AB,,
1,LVC,MEASURE,LVC_03,1/1/2017,12/31/2017,FFS_AB,,
1,LVC,MEASURE,LVC_04_12,1/1/2017,12/31/2017,FFS_AB,,
1,LVC,MEASURE,LVC_05,1/1/2017,12/31/2017,FFS_AB,,
1,LVC,MEASURE,LVC_07_10,1/1/2017,12/31/2017,FFS_AB,,
1,LVC,MEASURE,LVC_08,1/1/2017,12/31/2017,FFS_AB,,
1,LVC,MEASURE,LVC_09,1/1/2017,12/31/2017,FFS_AB,,
1,LVC,MEASURE,LVC_11,1/1/2017,12/31/2017,FFS_AB,,
1,LVC,MEASURE,LVC_13,1/1/2017,12/31/2017,FFS_AB,,
1,LVC,MEASURE,LVC_14,1/1/2017,12/31/2017,FFS_AB,,
1,LVC,MEASURE,LVC_15,1/1/2017,12/31/2017,FFS_AB,,
1,LVC,MEASURE,LVC_16,1/1/2017,12/31/2017,FFS_AB,,
1,LVC,MEASURE,LVC_17,1/1/2017,12/31/2017,FFS_AB,,
1,LVC,MEASURE,LVC_18,1/1/2017,12/31/2017,FFS_AB,,
1,HEDIS,MEASURE,HEDIS_BCS,1/1/2017,12/31/2017,FFS_AB,,
1,MERCK,COHORT,MERCK_GI,1/1/2017,12/31/2017,FFS_AB,,
1,LILLY,COHORT,LILLY_ADRD_1_2,1/1/2017,12/31/2017,FFS_AB,,
1,LILLY,COHORT,LILLY_ADRD_3,1/1/2017,12/31/2017,FFS_AB,,
1,HANGER,COHORT,HANGER_DFU,1/1/2017,12/31/2017,FFS_AB,,
1,MIPS,MEASURE,MIPS_WHR,1/1/2017,12/31/2017,FFS_AB/FFS_A,,
1,PFIZER,COHORT,PFIZER_ATTR_CM,1/1/2017,12/31/2017,FFS_AB,,
1,GAM,MEASURE,GAM_31,1/1/2017,12/31/2017,FFS_AB,,
1,CJ,EPISODE,PPI_IP_PROC,4/1/2016,9/30/2017,FFS_AB,,
1,CJ,EPISODE,PPI_IOP_PROC,4/1/2016,9/30/2017,FFS_AB,,
1,CJ,EPISODE,PPI_IOP_MJRLE,4/1/2016,9/30/2017,FFS_AB,,
1,CJ,EPISODE,PPI_OP_PROC,4/1/2016,9/30/2017,FFS_AB,,
1,CJ,EPISODE,PPI_PR_PROC,4/1/2016,9/30/2017,FFS_AB,,
1,CJ,EPISODE,PPI_IP_MED,4/1/2016,9/30/2017,FFS_AB,,
1,CJ,EPISODE,PPI_AC_MED,4/1/2016,9/30/2017,FFS_AB,,
1,CJ,EPISODE,PPI_CH_MED,1/1/2017,12/31/2017,FFS_AB,,
1,CJ,EPISODE,PPI_CHEMO,7/1/2016,6/30/2017,FFS_AB,,
1,CJ,EPISODE,PPI_RO,4/1/2016,9/30/2017,FFS_AB,,
1,CJ,EPISODE,PPI_PERINATAL,10/1/2016,9/30/2017,FFS_AB,,
