MS_DRG_TYPE,MS_DRG_CAT,MS_DRG_CAT_DESC,MS_DRG_GRP,MS_DRG_GRP_DESC,MS_DRG,MS_DRG_DESC,BUNDLE_NAME,Weights,Geometric_mean_LOS,Arithmetic_mean_LOS,VERSION,EFFECTIVE_DATE,TERMINATION_DATE,BPCIA,CJ_PERINATAL,KCC,PPI_IP_PROC,PPI_IOP_PROC,PPI_IOP_MJRLE,PPI_OP_PROC,PPI_PR_PROC,PPI_IP_MED,PPI_CH_MED,PPI_AC_MED,PPI_CHEMO,PPI_PERINATAL
P,0,PRE-MDC HIGH COST PROCEDURES,1,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM,1,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,,25.4484,29,37,,,,X, ,O,X,X,X,X,X,X,X,X,X,X
P,0,PRE-MDC HIGH COST PROCEDURES,1,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM,2,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,,15.2462,16.8,20.2,,,,X, ,O,X,X,X,X,X,X,X,X,X,X
P,0,PRE-MDC HIGH COST PROCEDURES,3,"ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK",3,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PDX EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURE",,17.6245,24.3,30.9,,,,X, ,,X,X,X,X,X,X,X,X,X,X
P,0,PRE-MDC HIGH COST PROCEDURES,3,"ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK",4,"TRACHEOSTOMY WITH MV >96 HOURS OR PDX EXCEPT FACE, MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURE",,11.0663,19.4,23.8,,,,X, ,,X,X,X,X,X,X,X,X,X,X
P,0,PRE-MDC HIGH COST PROCEDURES,5,LIVER TRANSPLANT,5,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,,10.439,15.3,20.7,,,,X, ,O,X,X,X,X,X,X,X,X,,X
P,0,PRE-MDC HIGH COST PROCEDURES,5,LIVER TRANSPLANT,6,LIVER TRANSPLANT WITHOUT MCC,,4.5018,7.8,8.5,,,,X, ,O,X,X,X,X,X,X,X,X,,X
P,0,PRE-MDC HIGH COST PROCEDURES,7,LUNG TRANSPLANT,7,LUNG TRANSPLANT,,9.7921,16,18.7,,,,X, ,O,X,X,X,X,X,X,X,X,X,X
P,0,PRE-MDC HIGH COST PROCEDURES,8,SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,8,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,,5.062,9.2,10.7,,,,X, ,K,X,X,X,X,X,X,X,X,X,X
P,0,PRE-MDC HIGH COST PROCEDURES,9,BONE MARROW TRANSPLANT,9,BONE MARROW TRANSPLANT,,,,,V27,,10/1/2010,, ,O,X,X,X,X,X,X,X,X,,X
P,0,PRE-MDC HIGH COST PROCEDURES,10,PANCREAS TRANSPLANT,10,PANCREAS TRANSPLANT,,4.3722,8.1,9,,,,X, ,O,X,X,X,X,X,X,X,X,X,X
