MS-DRG ,MDC,TYPE,MS-DRG Title,Weights,Geometric mean LOS,Arithmetic mean LOS,FY
001,PRE,P,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,26.2466,29.4,38.8,2016
001,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,27.1011,30.0,38.6,2017
001,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,25.4484,29,37,2018
001,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,26.4106,29.1,37.5,2019
001,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,27.6339,28.5,37.4,2020
001,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,28.9651,30.2,39.2,2021
001,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,28.9132,30.1,39.1,2022
001,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,28.1461,29.9,39.3,2023
002,PRE,P,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,14.6448,16.6,20.0,2016
002,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,16.1549,18.1,22.2,2017
002,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,15.2462,16.8,20.2,2018
002,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,13.4227,15.1,18.0,2019
002,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,14.0137,16.8,20.6,2020
002,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,15.9310,16.4,19.1,2021
002,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,14.9701,15.4,18.2,2022
