CCN,WI,Year
010001,0.7704,2015
010005,0.8212,2015
010006,0.7325,2015
010007,0.6874,2015
010008,0.6973,2015
010009,*,2015
010010,*,2015
010011,0.8128,2015
010012,0.7091,2015
010015,*,2015
010016,0.8128,2015
010018,0.8128,2015
010019,0.7325,2015
010021,0.7015,2015
010022,0.9315,2015
010023,0.7597,2015
010024,0.7597,2015
010025,0.8163,2015
010027,0.6945,2015
010029,0.8163,2015
010032,0.7238,2015
010033,0.8128,2015
010034,0.7597,2015
010035,0.8212,2015
010036,0.6874,2015
010038,0.7393,2015
010039,0.8528,2015
010040,0.8128,2015
010043,0.8128,2015
010044,0.8128,2015
010045,0.8061,2015
010046,0.7404,2015
010047,0.6946,2015
010049,0.6945,2015
010050,0.8128,2015
010051,0.9537,2015
010052,0.6999,2015
010054,0.7112,2015
010055,0.7872,2015
010056,0.8128,2015
010058,0.8128,2015
010059,0.8212,2015
010061,0.8397,2015
010062,0.7187,2015
010065,0.8128,2015
010066,0.6874,2015
010069,0.6874,2015
010073,0.6874,2015
010078,0.7393,2015
010079,0.8528,2015
010083,0.7701,2015
010085,0.7112,2015
010086,0.6874,2015
010087,0.7570,2015
010089,0.8128,2015
010090,0.7570,2015
010091,0.6929,2015
010092,0.8574,2015
010095,0.8574,2015
010097,0.7597,2015
010099,0.6874,2015
010100,0.7701,2015
010101,0.8128,2015
010102,0.6874,2015
010103,0.8128,2015
010104,0.8128,2015
010108,0.7597,2015
010109,0.8554,2015
010110,0.6996,2015
010112,0.6874,2015
010113,0.7570,2015
010114,0.8128,2015
010118,0.8061,2015
010120,0.6874,2015
010125,0.7317,2015
010126,0.6874,2015
010128,0.6929,2015
010129,0.7385,2015
010130,0.8128,2015
010131,0.8528,2015
010137,0.8128,2015
010138,0.7040,2015
010139,0.8128,2015
010143,*,2015
010144,0.7570,2015
010145,*,2015
010146,0.7393,2015
010148,0.6874,2015
010149,0.7597,2015
010150,0.7597,2015
010152,0.7570,2015
010157,0.7325,2015
010158,0.7553,2015
010164,0.7174,2015
010167,*,2015
010168,0.8286,2015
010169,0.6874,2015
010170,*,2015
020001,1.3065,2015
020006,1.3065,2015
020008,1.3065,2015
020012,1.3065,2015
