PROVIDER_ID,DEACTIVATION_YEAR,STATE
1154671204,,SC
1083031405,,IL
1801288972,,TX
1003208067,,CO
1316330046,,TX
1356733356,,TX
1487046108,,OR
1376936088,,TX
1053703504,,TX
1679966105,,KS
1669489092,,DE
1235146408,,FL
1811904006,,VA
1306852033,,IL
1396752572,,PA
1538176003,,PA
1629085949,,KY
1225044944,2022,
1184631509,,NY
1003823378,,NY
1598771214,2021,
1194732388,2021,
1124035589,,PA
1750398962,,CA
1003822966,2021,
1922015486,,NY
1346257771,,MS
1699782169,,MN
1588670434,2021,
1649286188,,AL
1336156496,,ID
1457368649,,CA
1861408528,,KS
1447267729,,NE
1952318107,,NY
1457368623,,NJ
1083621734,,MO
1417964180,,IL
1619984465,,MI
1659388718,,MA
1952317976,,MI
1104833904,,VA
1790792349,,MA
1609883354,,KY
1497762389,,GA
1790792539,,VA
1427065390,,NY
1356358246,,MD
1730196437,,AL
1255348025,,CT
1740297597,,WA
1568479517,,NM
1881601474,,MA
1740784016,,NV
1821006313,,TN
1518975010,,TX
1790792380,,NC
1417964149,,WV
1992209324,,KY
1871500710,,NH
1871501338,,LA
1669489258,,MI
1609232891,,FL
1083116198,,TX
1689176661,,FL
1154863116,,WA
1831632744,,MD
1205147956,,OH
1588975098,,GA
1962542456,,IN
1487156303,,NC
1407365315,,OH
1073022828,,CA
1598274037,,VA
1629394945,,NM
1295237477,,VA
1164817854,,KS
1962954305,,MI
1295277085,,GA
1861934440,,MN
1881137131,,KY
1841733854,,FL
1992214076,,IA
1124537501,,KY
1619486966,,PA
1477055515,,WA
1609474477,,NY
1851502108,,MD
1538602719,,MO
1376086215,,NC
1184935892,,GA
1801107149,,NY
1356480925,,MD
1508906769,,MI
1245370295,,HI
1255796124,,OH
1932618477,,MO
1366944282,,NE
1780895292,,FL
1265643514,,MD
1679025076,,NC
1821530189,,WA
1417459694,,MO
1689216442,,IN
1326403213,,CO
1336504018,,NC
1114436276,,NC
1457830093,,NJ
1619576063,,NY
1013118090,,TN
1225570088,,TX
1033651732,,NC
1881136554,,MD
1003359993,,FL
1912440850,,FL
1154632990,,NH
1518278829,,GA
1275673873,,LA
1972643054,,IL
1962542365,,NC
1598244394,,AR
1770181661,,TN
1477613214,,WA
1689885550,,FL
1780895516,,NY
1033320700,2021,
1558572107,,MI
1316158835,,VT
1528279064,,CO
1154522381,,OK
1275085524,,IN
1588116750,,ME
1184176356,,GA
1124560016,,OH
1760924534,,AZ
1386186831,,IN
1407398845,,MS
1699218636,,ND
1003359738,,CT
1063723831,,TX
1538470976,,MA
1285655506,,GA
1437299526,,MO
1588029383,,OK
1003271636,,IA
1255840880,,OH
1295244895,,AZ
1790016715,,TN
1730390089,,CT
1104037381,,NY
1457894495,,MD
1346783396,,IN
1285177246,,NY
1003359563,,MO
1093258964,,AZ
1104368042,,IN
1215249560,,NY
1518279819,,NV
1124330360,,TX
1770503047,,NE
1922463819,,FL
1942665443,,CT
1801305305,,AZ
1831693837,,TX
1265934376,,MA
1326540311,,TN
1689885485,,MA
1306047527,,NM
1174724371,,IN
1801348248,,AL
1144763301,,FL
1336682418,,AK
1619410313,,NY
1982246658,,TN
1285945816,,TX
1760793061,,PA
1164442000,,CA
1093234213,,NC
1780193177,,MN
1255646493,,WV
1104199215,,KY
1831110451,,WA
1316968985,,MN
1841211422,,NY
1114948411,2023,
1518163609,,CA
1629077011,,TN
1518966936,,KY
1174162671,,NC
1598304685,,AZ
1811980584,2006,MD
1275602377,,FL
1629147103,,ID
1710066923,2022,
1053481200,,WA
1720158066,,LA
1932279726,,CA
1609946342,,NM
1003955964,,CO
1447708284,,KY
1710292859,,TX
1982603379,,OH
1952300469,,GA
1679112304,,MS
1982244752,,CT
1831278480,,CO
1548339518,,FL
1770652547,,MI
1982774220,,MA
1417026881,,CA
1932279064,,NY
1538661285,,CA
1588027809,,IL
1881142834,,KY
1508315375,,NY
1538280011,,AR
1740201466,2021,
1467658666,,GA
1588663900,,OR
1669471132,2020,
1376183129,,FL
1942389895,,MD
1730268368,,MD
1235218439,,CA
1356420111,2022,
1649359175,2021,
1518036003,,IL
1699844258,,TN
1043389885,,KY
1205032679,2023,
1649349606,2022,
1912076613,,CT
1750451845,,NY
1710056007,,SC
1861561250,2021,
1760551006,,DC
1295014496,,VT
1477609824,,CA
1841748043,,WA
1932657749,,KY
1154870913,,NY
1457800054,,OH
1467901900,,PA
1306497870,,MD
1740582691,,ME
1891991881,,TX
1548269020,,PA
1528067105,,VA
1992704548,2022,
1619056231,,WA
1295814564,,KY
1831278068,,IN
1679652184,,CO
1255400180,,MD
1639258833,2021,
1780753400,,CA
1588112700,,FL
1669921391,,CA
1598360851,,NJ
1306968300,,DC
1881615466,,FL
1124535380,,NC
1326047754,,TX
1053950113,,AR
1447329495,,NC
1669551883,,CA
1194894337,,MO
1730268285,2021,
1891874087,,SC
1023187440,,SC
1992875231,,NC
1902976897,,CA
1679642912,,IN
1730259029,,CA
1013086339,,CA
1891865663,,NY
1083784797,,IA
1417096124,,MD
1306394754,,CT
1164970984,,OH
1154777225,,MN
1972524536,,FL
1164805131,2022,
1639178122,,VA
1629077292,,NY
1962400853,,PA
1124027628,,NC
1144229816,2021,
1356989370,,FL
1891333803,,IN
1922647064,,AZ
1851470611,,CA
1235218058,,NH
1699854299,,WA
1629147707,,NY
1427127505,,IL
1427127042,2022,
1205905098,,MI
1033289137,,NY
1972673895,,CA
1619047495,,FL
1376092981,,NM
1699896712,,NC
1003837659,,FL
1972524437,,NH
1508887985,,GA
1093778136,,AR
1508945312,,OH
1992884738,,CA
1205915840,,RI
1730258781,,FL
1033288824,,FL
1417026097,,WA
1407925043,,WA
1720158595,,TX
1073683470,,WI
1992253033,,PA
1942759568,,NY
1750466298,,CA
1245239847,,OH
1043859572,,CO
1881233211,,NC
1487294559,,MA
1811537608,,NY
1376622142,,WV
1447339031,,NY
1700965092,,TX
1225107386,,ID
1790854370,,IA
1063581742,,PA
1225108566,,NJ
1285704197,,OH
1144399486,,OH
1427128172,,OH
1073683710,,CA
1518415942,,ID
1033115217,,TX
1942566021,,IN
1871112896,,FL
1396200481,,OH
1215556188,,AZ
1255950614,,NY
1730709577,,NV
1043830748,,KS
1174144406,,NC
1992325443,,TX
1841811205,,DC
1821619164,,AL
1316948680,,NY
1417958711,,NM
1902807183,,IL
1679574735,,IL
1184625212,,CA
1467453597,,WI
1801898804,,CT
1336140466,,VA
1124020102,,CA
1609878537,,OH
1003818899,,KS
1730180936,,GA
1184626723,,NC
1588666143,,AR
1639161870,,TX
1346242732,,MI
1427040476,,KY
1053303164,,IN
1770575458,,OH
1013909662,,PA
1649262015,,PA
1760474001,,CA
1811989122,,IN
1487647608,,NY
1033102298,,PA
1851384978,,GA
1205829330,,MS
1558354464,,MD
1629061486,,NY
1245223924,2021,
1427041003,,TN
1740273382,,PA
1124011622,,VA
1083607436,,FL
1932192382,,PA
1841283272,,OH
1467681726,,MS
1528170321,,OH
1841302528,,MD
1518078104,,NH
1326289117,,SC
1740421304,,IA
1033764006,,NY
1558706580,,MO
1215374509,,AZ
1578909347,,FL
1124029533,,NJ
1962403311,,AZ
1780685164,,OH
1710988902,,AL
1598766719,,OH
1063413177,,AZ
1285635342,2020,
1164423232,,WV
1588666515,,OH
1801898739,,PA
1841292729,,AL
1073505095,,NC
1093707267,,FL
1639161755,,MI
1376535161,,NC
1093707093,,MI
1972595775,,MA
1760474415,,CA
1972595544,,FL
1184616799,,SC
1700878378,,OK
1972595767,,IA
1306838008,,DE
1710979364,,FL
1548252018,,FL
1366434870,,NC
1285626630,,IL
1124010640,,MS
1093707382,,NC
1932191335,,KY
1659363984,,PA
1649262650,,NY
1780677757,,PA
1063405785,,FL
1821081498,,TX
1912990664,,OR
1881687531,,CA
1669465597,2022,
1487647012,,WA
1255325650,,NY
1215491253,,TX
1205141637,,NY
1548499775,,MA
1255443834,,NY
1316058357,,MI
1003927278,,WI
1417949777,,GA
1184739492,,WI
1457905176,,IL
1447694823,,AL
1487099230,,OH
1619313624,,NY
1386080984,,MA
1215938501,,GA
1376544437,,MT
1972504025,,ME
1811998131,2021,
1720080898,,FL
1306848353,,MI
1376545293,,TX
1396747119,,GA
1669473112,,TX
1790787331,2021,
1598767147,,OR
1891797379,,IL
1821080060,,CA
1982606406,,MD
1861484875,,MN
1982696050,,ID
1184616385,,MO
1083606842,,KS
1275525776,,CA
1821080201,,IL
1841282746,,PA
1164415006,,TX
1497748347,,TX
1588657381,,FL
1982697702,,NY
1013900844,,IA
1477546224,,MA
1740273341,,KY
1447243084,,TX
1205829702,,PA
1497748875,,FL
1184618597,,TX
1730318999,,WA
1003928615,,FL
1982714911,,NJ
1689785156,,NY
1508859125,,NY
1881835676,,NY
1578792800,,AZ
1053425280,2020,CA
1114483583,,FL
1386089134,,CO
1275979346,,ID
1407293897,,NY
1528069937,,PA
1992706329,,OH
1710988852,,NJ
1851392922,,CA
1063413144,,WA
1316949290,,VA
1104828029,,MI
1942202528,,IA
1104828946,2006,OK
1316949738,,IL
1811989916,,NY
1508858796,,NY
1962494922,,VA
1669464871,,NY
1457353898,2021,
1952393738,,WI
1265424816,,MI
1912999541,,TX
1083606644,,SC
1649262510,2006,FL
1356333876,,NC
1023000668,,MO
1811989338,,TX
1184616526,,WA
1699767947,,PA
1770575037,,NJ
1609869882,,TX
1457343733,,OH
1356334643,,MD
1508859497,,OH
1477546315,,NJ
1275526154,,NY
1386637338,,PA
1467564203,,NC
1740391127,,IA
1427160951,,LA
1639281025,,FL
1972744712,,KY
1043451644,,MT
1770928681,,MA
1316382906,,TX
1447697941,,TX
1235575184,,AR
1730180027,,MD
1992706212,,TX
1205837408,,IA
1154323061,,NJ
1770584823,,NJ
1508868605,,OH
1124020011,,TN
1134121023,,MD
1326040155,,NJ
1285636050,,OH
1992707590,,NE
1851393565,,MD
1447252010,,IA
1063414662,,IN
1023010964,,AZ
1336141928,,NJ
1063413128,,FL
1578555710,,TX
1649272105,,FL
1639161813,,AZ
1609868801,,IN
1528050424,,NC
1700878634,,AR
1205838661,,MN
1417949090,,MI
1215929070,,AL
1447242110,,KY
1699767244,,PA
1922090497,,TX
1770575474,2006,AZ
1013909522,,AL
1376535062,2020,
1053303404,,GA
1245222686,,FL
1275525545,,NH
1255323531,,MI
1700879053,,NV
1629061981,,OR
1528051745,,PA
1952394264,,MO
1730172818,,NC
1013900042,,TN
1700879608,,SC
1861485443,,FL
1033102629,,TN
1619960218,,TX
1679566202,,FL
1629061189,,FL
1881687358,,NY
1245224625,,AR
1194030619,,ME
1972614972,,CA
1083726723,,MD
1093827354,,AL
1497866602,2022,
1245342492,,CA
1043321417,,MD
1477546083,2023,
1609017334,,AZ
1467763540,,MD
1437594892,,TX
1174968283,,CA
1316948714,,NY
1144221334,,NY
1861494890,,GA
1427050327,,IL
1417959826,,MN
1982606539,2020,
1386636272,,WI
1023000858,,SC
1619969243,,MI
1437141967,,FL
1649262551,2022,
1306838818,,AL
1639161979,,CO
1841283066,,PA
1669465662,,TN
1841283959,,ME
1316930506,,CO
1215920756,,IL
1700879236,,IL
1255324612,,CA
1215166202,,CA
1578675013,2022,
1053422717,,MA
1598876013,,MO
1114038221,,CA
1023259652,,MI
1902047392,,MN
1447695838,,VA
1255776902,,GA
1952748568,,HI
1619314879,,TX
1033110333,,MA
1356342547,2021,
1336140433,,NY
1619979515,,WI
1124020938,,NY
1417959164,,CO
1780686303,,TX
1194727891,2020,
1659373231,,NM
1124020169,,MS
1417959198,2006,TX
1295737823,,WI
1972505394,,CA
1730181173,,NJ
1457353807,,OH
1790787141,,CA
1699767772,,AR
1578555215,,CA
1639161300,,VA
1609868249,,OH
1962494468,,OH
1144212630,,MO
1841282258,,AR
1922090265,,OK
1285626531,,OH
1609869940,,FL
1427041755,,GA
1942293063,,TN
1902899198,,NC
1346233558,,SC
1770576662,,PA
1124011911,,NY
1275526915,,OH
1134112899,,VT
1225021777,,CA
1710970264,,CA
1326109042,2023,
1811993322,2023,
1710098793,2021,
1497866131,,NY
1023259819,,CA
1194046375,,DE
1194160432,,IL
1699110635,,OH
1780029645,,LA
1932544939,,PR
1629414149,,OR
1013353218,,CA
1417393083,,MA
1568809937,,FL
1194160044,,GA
1780685123,,AR
1154322246,,NJ
1053312173,,CT
1366444390,,IN
1285636175,,NY
1326040254,,IN
1861494700,,TX
1437151214,,OH
1821099953,2006,TX
1063414639,,NY
1700888211,,MN
1255333779,,SC
1275525370,,NY
1053303024,,AZ
1073505244,,PA
1326040189,2021,
1720070840,2021,
1740272962,2006,TX
1316949761,2021,
1215939871,2006,AK
1730171505,,NJ
1699767442,,IA
1366434144,,FL
1548252075,,FL
1841282480,,OH
1639161987,,GA
1689666497,,MN
1205828068,,NY
1447243753,,PA
1942292461,2006,OH
1215920301,,MA
1912999558,,CA
1376535740,2023,
1902899842,,AL
1528051455,,OH
1801889886,,PA
1609869692,,TX
1013900836,,OH
1275526352,2006,OH
1487647137,,MN
1518950344,2021,
1801889365,,CA
1770576134,,NM
1164415543,,TN
1003809492,,NY
1255325619,,TX
1770695108,,MS
1811476096,,MD
1770694937,,NY
