EPISODE_TYPE,Clinical_category,DEF_NAME,DEF_SUB,DEF_DESC,EPISODE_NAME,PAC_RF,PAC_DESC,flag
Chronic Medical,Blood diseases,PPI_CH_MED,PPI_CH_MED_Y020,Anemia chronic,Chronic anemia,PC037,"Drug overdose, underdose, and adverse effects - iron and its compounds",0
Chronic Medical,Blood diseases,PPI_CH_MED,PPI_CH_MED_Y020,Anemia chronic,Chronic anemia,PC038,"Drug overdose, underdose, and adverse effects - hematological agents",1
Chronic Medical,Blood diseases,PPI_CH_MED,PPI_CH_MED_Y020,Anemia chronic,Chronic anemia,PC70,Acute posthemorrhagic anemia,1
Chronic Medical,Blood diseases,PPI_CH_MED,PPI_CH_MED_Y026,Purpura and thrombocytopenia,Low platelet count,PC03,Stroke/TIA,1
Chronic Medical,Blood diseases,PPI_CH_MED,PPI_CH_MED_Y026,Purpura and thrombocytopenia,Low platelet count,PC038,"Drug overdose, underdose, and adverse effects - hematological agents",1
Chronic Medical,Blood diseases,PPI_CH_MED,PPI_CH_MED_Y026,Purpura and thrombocytopenia,Low platelet count,PC22,"DIC, coagulation and hemorrhagic disorders",1
Chronic Medical,Blood diseases,PPI_CH_MED,PPI_CH_MED_Y028,Neutropenia,Low white blood cell count,PC038,"Drug overdose, underdose, and adverse effects - hematological agents",1
Chronic Medical,Blood diseases,PPI_CH_MED,PPI_CH_MED_Y028,Neutropenia,Low white blood cell count,PC22,"DIC, coagulation and hemorrhagic disorders",1
Chronic Medical,Blood diseases,PPI_CH_MED,PPI_CH_MED_Y030,Immune deficiency disease,Immune deficiency disease,PC022,"Drug overdose, underdose, and adverse effects - systemic anti-infectives and antiparasitics",1
Chronic Medical,Blood diseases,PPI_CH_MED,PPI_CH_MED_Y030,Immune deficiency disease,Immune deficiency disease,PC04,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
Chronic Medical,Blood diseases,PPI_CH_MED,PPI_CH_MED_Y030,Immune deficiency disease,Immune deficiency disease,PC15,Opportunistic Infections,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y106,Cerebrovascular disease,Cerebrovascular disease,PC039,"Drug overdose, underdose, and adverse effects - cardiovascular systtem drugs",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y106,Cerebrovascular disease,Cerebrovascular disease,PC047,"Drug overdose, underdose, and adverse effects - Diuretics",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y106,Cerebrovascular disease,Cerebrovascular disease,PC03,Stroke/TIA,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y106,Cerebrovascular disease,Cerebrovascular disease,PC09,"Acute Myocardial Infarction, Coronary thrombolysis",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y106,Cerebrovascular disease,Cerebrovascular disease,PC21,"Acute CHF, pulm edema",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y106,Cerebrovascular disease,Cerebrovascular disease,PC59,Hypertensive crisis,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y131,Hypertension,Chronic high blood pressure,PC039,"Drug overdose, underdose, and adverse effects - cardiovascular systtem drugs",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y131,Hypertension,Chronic high blood pressure,PC047,"Drug overdose, underdose, and adverse effects - Diuretics",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y131,Hypertension,Chronic high blood pressure,PC03,Stroke/TIA,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y131,Hypertension,Chronic high blood pressure,PC09,"Acute Myocardial Infarction, Coronary thrombolysis",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y131,Hypertension,Chronic high blood pressure,PC21,"Acute CHF, pulm edema",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y131,Hypertension,Chronic high blood pressure,PC59,Hypertensive crisis,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y144,Heart Failure,Heart failure,PC039,"Drug overdose, underdose, and adverse effects - cardiovascular systtem drugs",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y144,Heart Failure,Heart failure,PC047,"Drug overdose, underdose, and adverse effects - Diuretics",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y144,Heart Failure,Heart failure,PC08,Cardiac dysrhythmias,0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y144,Heart Failure,Heart failure,PC39,"Shock, cardiac arrest, ventricular fibrillation",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y144,Heart Failure,Heart failure,PC03,Stroke/TIA,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y144,Heart Failure,Heart failure,PC09,"Acute Myocardial Infarction, Coronary thrombolysis",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y144,Heart Failure,Heart failure,PC13,Acute Respiratory Failure,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y144,Heart Failure,Heart failure,PC21,"Acute CHF, pulm edema",1
