Clinical_category,Episode_type,Episode_name,def_sub,spec_cd,Spec_desc,Spec_type
Blood diseases,Chronic Medical,Anemia chronic,PPI_CH_MED_Y020,01,General practice,PCP
Blood diseases,Chronic Medical,Anemia chronic,PPI_CH_MED_Y020,08,Family practice,PCP
Blood diseases,Chronic Medical,Anemia chronic,PPI_CH_MED_Y020,11,Internal medicine,PCP
Blood diseases,Chronic Medical,Anemia chronic,PPI_CH_MED_Y020,37,Pediatric medicine,PCP
Blood diseases,Chronic Medical,Anemia chronic,PPI_CH_MED_Y020,38,Geriatric medicine,PCP
Blood diseases,Chronic Medical,Anemia chronic,PPI_CH_MED_Y020,39,Nephrology,SCP
Blood diseases,Chronic Medical,Anemia chronic,PPI_CH_MED_Y020,82,Hematology,SCP
Blood diseases,Chronic Medical,Anemia chronic,PPI_CH_MED_Y020,83,Hematology/oncology,SCP
Blood diseases,Chronic Medical,Anemia chronic,PPI_CH_MED_Y020,90,Medical oncology,SCP
Blood diseases,Chronic Medical,Immune deficiency disease,PPI_CH_MED_Y030,01,General practice,PCP
Blood diseases,Chronic Medical,Immune deficiency disease,PPI_CH_MED_Y030,08,Family practice,PCP
Blood diseases,Chronic Medical,Immune deficiency disease,PPI_CH_MED_Y030,11,Internal medicine,PCP
Blood diseases,Chronic Medical,Immune deficiency disease,PPI_CH_MED_Y030,38,Geriatric medicine,PCP
Blood diseases,Chronic Medical,Immune deficiency disease,PPI_CH_MED_Y030,03,Allergy/immunology,SCP
Blood diseases,Chronic Medical,Immune deficiency disease,PPI_CH_MED_Y030,44,Infectious disease,SCP
Blood diseases,Chronic Medical,Immune deficiency disease,PPI_CH_MED_Y030,82,Hematology,SCP
Blood diseases,Chronic Medical,Immune deficiency disease,PPI_CH_MED_Y030,83,Hematology/oncology,SCP
Blood diseases,Chronic Medical,Immune deficiency disease,PPI_CH_MED_Y030,90,Medical oncology,SCP
Blood diseases,Chronic Medical,Neutropenia,PPI_CH_MED_Y028,01,General practice,PCP
Blood diseases,Chronic Medical,Neutropenia,PPI_CH_MED_Y028,08,Family practice,PCP
Blood diseases,Chronic Medical,Neutropenia,PPI_CH_MED_Y028,11,Internal medicine,PCP
Blood diseases,Chronic Medical,Neutropenia,PPI_CH_MED_Y028,37,Pediatric medicine,PCP
Blood diseases,Chronic Medical,Neutropenia,PPI_CH_MED_Y028,38,Geriatric medicine,PCP
Blood diseases,Chronic Medical,Neutropenia,PPI_CH_MED_Y028,C9,Hematopoietic cell transplantation and cellular therapy,PROC
Blood diseases,Chronic Medical,Neutropenia,PPI_CH_MED_Y028,82,Hematology,SCP
Blood diseases,Chronic Medical,Neutropenia,PPI_CH_MED_Y028,83,Hematology/oncology,SCP
Blood diseases,Chronic Medical,Neutropenia,PPI_CH_MED_Y028,90,Medical oncology,SCP
Blood diseases,Chronic Medical,Purpura and thrombocytopenia,PPI_CH_MED_Y026,01,General practice,PCP
Blood diseases,Chronic Medical,Purpura and thrombocytopenia,PPI_CH_MED_Y026,08,Family practice,PCP
Blood diseases,Chronic Medical,Purpura and thrombocytopenia,PPI_CH_MED_Y026,11,Internal medicine,PCP
Blood diseases,Chronic Medical,Purpura and thrombocytopenia,PPI_CH_MED_Y026,37,Pediatric medicine,PCP
Blood diseases,Chronic Medical,Purpura and thrombocytopenia,PPI_CH_MED_Y026,38,Geriatric medicine,PCP
Blood diseases,Chronic Medical,Purpura and thrombocytopenia,PPI_CH_MED_Y026,C9,Hematopoietic cell transplantation and cellular therapy,PROC
Blood diseases,Chronic Medical,Purpura and thrombocytopenia,PPI_CH_MED_Y026,66,Rheumatology,SCP
Blood diseases,Chronic Medical,Purpura and thrombocytopenia,PPI_CH_MED_Y026,82,Hematology,SCP
Blood diseases,Chronic Medical,Purpura and thrombocytopenia,PPI_CH_MED_Y026,83,Hematology/oncology,SCP
